ABX Air;ABX;ABEX; Estados Unidos
ACES Colombia;AES;ACES; Colombia
Atlantic Southeast Airlines;ASQ;ACEY; Estados Unidos
Nantucket Airlines;ACK;ACK AIR; Estados Unidos
Action Airlines;AXQ;ACTION AIR; Estados Unidos
Aerolinea de Antioquia;ANQ;ADA; Colombia
Adria Airways;ADR;ADRIA; Eslovenia
Aegean Airlines;AEE;AEGEAN; Grecia
Aer Arann;REA;AER ARANN; Irlanda
Aero Asia International;RSO;AERO ASIA; Pakistan
Aero California;SER;AERO CALIFORNIA; Mexico
Aeroflot;AFL;AEROFLOT; Rusia
Romavia;RMV;AEROMAVIA; Rumania
Aeromexico;AMX;AEROMEXICO; Mexico
Aeroperu;PLI;AEROPERU; Peru
Aeropostal;ALV;AEROPOSTAL; Venezuela
AeroRepublica;RPB;AEROREPUBLICA; Colombia
Aerosucre;KRE;AEROSUCRE; Colombia
AeroSur;RSU;AEROSUR; Bolivia
Aerosvit Airlines;AEW;AEROSVIT; Ucrania
Airblue;ABQ;PAKBLUE; Pakistan
Air Algerie;DAH;AIUR ALGERIE; Argelia
SATA International;RZO;AIR AZORES; Portugal
Air Berlin;BER;AIR BERLINE; Alemania
Air Canada;ACA;AIR CANADA; Canada
City Air;CAQ;AIR CHESTER; Reino Unido
Air China;CCA;AIR CHINA; China
Hokkaido International Airlines;ADO;AIR DO; Japon
Air Europa;AEA;AIR EUROPA; Espana
Air Finland;FIF;AIR FINLAND; Finlandia
Air Hong Kong;AHK;AIR HONG KONG; Hong Kong
Air Japan;AJX;AIR JAPAN; Japon
Kitty Hawk Aircargo;KHA;AIR KITTYHAWK; Estados Unidos
Air Madagascar;MDG;AIR MADAGASCAR; Madagascar
Air Malta;AMC;AIR MALTA; Malta
Air Medical;MCD;AIR MED; Reino Unido
Air Midwest;AMW;AIR MIDWEST; Estados Unidos
Continental Micronesia;CMI;AIR MIKE; Guam
Air Niagara Express;DBD;AIR NIAGARA; Canada
North Coast Aviation;AOH;AIR OHIO; Estados Unidos
TAP Portugal;TAP;AIR PORTUGAL; Portugal
Propheter Aviation;PPA;AIR PROP; Estados Unidos
Air Europa Express;PMI;AIR REGIONAL; Espana
Air Sahara;SHD;AIR SAHARA; India
Mesa Airlines;ASH;AIR SHUTTLE; Estados Unidos
Corporate Air;CPT;AIR SPUR; Estados Unidos
West Air Sweden;SWN;AIR SWEDEN; Suecia
Air Vanuatu;AVN;AIR VAN; Vanuatu
Air Wisconsin;AWI;AIR WISCONSIN; Estados Unidos
Air Baltic;BTI;AIRBALTIC; Letonia
Air Caledonie;TPC;AIRCAL; Nueva Caledonia
Aircalin;ACI;AIRCALIN; Nueva Caledonia
Aires Colombia;ARE;AIRES; Colombia
Air France;AFR;AIRFRANS; Francia
Universal Airlines;WEC;AIRGO; Estados Unidos
Air India;AIC;AIRINDIA; India
Challenge Air;CLS;AIRISTO; Alemania
Airways International;AWB;AIRNAT; Estados Unidos
Warwickshire Aerocentre;ATX;AIRTAX; Reino Unido
Hughes Airwest;;AIRWEST; Estados Unidos,
Air Madrid;DRD;ALADA AIR; Espana
Alaska Airlines;ASA;ALASKA; Estados Unidos
