Acapulco;129;Mexico;62
Alicante;76;Espana;33
Amsterdam;100;Holanda;44
Antigua;10;Antigua;3
Antofagasta;50;Chile;19
Argel;11;Argelia;5
Arica;51;Chile;19
Aruba;13;Aruba;7
Asuncion;141;Paraguay;70
Atenas;93;Grecia;37
Atlanta;169;USA;91
Auckland;138;Nva. Zelanda;67
Baltimore;170;USA;91
Bangkok;163;Tailandia;86
Barbados;19;Barbados;11
Barcelona;77;Espana;33
Bari;114;Italia;54
Barranquilla;58;Colombia;21
Basilea;158;Suiza;83
Beijing;56;China;20
Beirut;124;Libano;58
Belem;25;Brasil;15
Belfast;109;Inglaterra;50
Belgrado;187;Yugoslavia;93
Belo Horizonte;26;Brasil;15
Bergen;136;Noruega;66
Berlin;1;Alemania;1
Bilbao;78;Espana;33
Bogota;59;Colombia;21
Boston;171;USA;91
Brasilia;27;Brasil;15
Bratislava;74;Eslovaquia;31
Brazzaville;63;Congo;22
Bruselas;20;Belgica;12
Bucarest;152;Rumania;78
Budapest;104;Hungria;47
Buenos Aires;12;Argentina;6
Calcuta;105;India;48
Cali;60;Colombia;21
Campinas;28;Brasil;15
Cancun;130;Mexico;62
Caracas;184;Venezuela;92
Cartagena;61;Colombia;21
Casablanca;127;Marruecos;61
Cayenne;96;Guyana Fr.;40
Chicago;172;USA;91
Ciudad del Cabo;155;Sudafrica;81
Cochabamba;21;Bolivia;13
Colonia;2;Alemania;1
Copenhague;68;Dinamarca;26
Curacao;9;Antillas Hol.;4
Curitiba;29;Brasil;15
Dakar;153;Senegal;79
Dallas;173;USA;91
Dusseldorf;3;Alemania;1
El Cairo;71;Egipto;28
Estambul;165;Turquia;88
Estocolmo;157;Suecia;82
Florianopolis;30;Brasil;15
Fortaleza;31;Brasil;15
Foz de Iguazu;32;Brasil;15
Frankfurt;4;Alemania;1
Genova;115;Italia;54
Georgetown;97;Guyana;41
Ginebra;159;Suiza;83
Glasgow;73;Escocia;30
Graz;16;Austria;9
Guatemala;95;Guatemala;39
Guayaquil;69;Ecuador;27
Habana;66;Cuba;25
Hamburgo;5;Alemania;1
Helsinki;90;Finlandia;35
Hong Kong;103;Hong Kong;46
Honolulu;99;Hawaii;43
Houston;174;USA;91
Ibiza;79;Espana;33
Ilheus;33;Brasil;15
Iquique;52;Chile;19
Iquitos;142;Peru;71
Jakarta;108;Indonesia;49
Johannesburgo;156;Sudafrica;81
Karachi;139;Pakistan;68
Kiev;166;Ucrania;89
Kingston;119;Jamaica;55
Kuala Lumpur;125;Malasia;59
La Paz;22;Bolivia;13
Lagos;135;Nigeria;65
Lanzarote;80;Espana;33
Las Palmas;81;Espana;33
Lima;143;Peru;71
Lisboa;147;Portugal;74
Ljulbjand;75;Eslovenia;32
Londres;110;Inglaterra;50
Los Angeles;175;USA;91
Luanda;8;Angola;2
Lyon;91;Francia;36
Maceio;34;Brasil;15
Madrid;82;Espana;33
Malaga;83;Espana;33
Malta;126;Malta;60
Managua;134;Nicaragua;64
Manaos;35;Brasil;15
Manila;89;Filipinas;34
Maracaibo;185;Venezuela;92
Medellin;62;Colombia;21
Melbourne;14;Australia;8
Memphis;176;USA;91
Merida;131;Mexico;62
Mexico;132;Mexico;62
Miami;177;USA;91
Milan;116;Italia;54
Montevideo;167;Uruguay;90
Montreal;45;Canada;17
Moscu;49;CEI;18
Mumbay;107;India;48
Munich;6;Alemania;1
Nagoya;120;Japon;56
Nairobi;123;Kenya;57
Napoles;117;Italia;54
Nassau;18;Bahamas;10
Nueva Delhi;106;India;48
Nueva Orleans;178;USA;91
Nueva York;179;USA;91
Oporto;148;Portugal;74
Orlando;168;USA;91
Osaka;121;Japon;56
Oslo;137;Noruega;66
Ottawa;46;Canada;17
Palma de Mallorca;84;Espana;33
Panama;140;Panama;69
Papete;145;Polinesia Fr.;72
Paramaribo;161;Surinam;84
Paris;92;Francia;36
Piura;144;Peru;71
Pointe a Pitre;94;Guadalupe;38
Porlamar;186;Venezuela;92
Port;98;Haiti;42
Portland;180;USA;91
Porto Alegre;36;Brasil;15
Porto Velho;37;Brasil;15
Praga;150;Rep. Checa;76
Puerto Espana;164;Trinidad;87
Puerto Montt;53;Chile;19
Punta Arenas;54;Chile;19
Quito;70;Ecuador;27
Rabat;128;Marruecos;61
Recife;38;Brasil;15
Rio de Janeiro;39;Brasil;15
Roma;118;Italia;54
Rotterdam;101;Holanda;44
Salvador;40;Brasil;15
San Francisco;181;USA;91
San Jose;65;Costa Rica;24
San Juan;149;Puerto Rico;75
San Salvador;72;El Salvador;29
Santiago de Chile;55;Chile;19
Sao Luiz;41;Brasil;15
Sao Paulo;42;Brasil;15
Sarajevo;24;Bosnia;14
Seattle;182;USA;91
Seul;64;Corea;23
Shanghai;57;China;20
Shannon;112;Irlanda;52
Singapur;154;Singapur;80
Sofia;44;Bulgaria;16
Sta. Cruz de la Sierra;23;Bolivia;13
Stgo. de Compostela;85;Espana;33
Sto. Domingo;151;Rep. Dominicana;77
Stuttgart;7;Alemania;1
Sydney;15;Australia;8
Tabatinga;43;Brasil;15
Taipei;162;Taiwan;85
Tegucigalpa;102;Honduras;45
Teheran;111;Iran;51
Tel Aviv;113;Israel;53
Tenerife;86;Espana;33
Tokio;122;Japon;56
Toronto;47;Canada;17
Valencia;87;Espana;33
Vancouver;48;Canada;17
Varadero;67;Cuba;25
Varsovia;146;Polonia;73
Viena;17;Austria;9
Vigo;88;Espana;33
Washington;183;USA;91
Yangon;133;Myanmar;63
Zurich;160;Suiza;83
